author;rating;komentar;label
halloniwar;5;Bagus banget loh sumpah ganyesel order ????????disini bagus bagus banget loh ??????????harganya juga sangat terjangkau;"baju:pos;harga:pos"
syifaalma;5;Pokoknya next bakalan order disini lagi emang benneran sebagus itu woy buat admin tetap pertahankan kualitas terbaik nomor satu pokoknya luv luv luv luv deh buat toko ini ????????;"baju:pos;kualitas:pos"
sitidwi_01;5;Sesuai hargaaa;harga:pos
fajar2;5;Pengemasan dan pengiriman cepat;"packing:pos;pengiriman:pos"
maulanawm_22;5;Packing aman dan rapih;packing:pos
e*****a;5;Maaf gambar tidak sesuai karna barang lsng di kirim ke kampung;respon:pos
fahmipuhmi;5;Kualitas bahan bisa dibilang sesuai dengan harga;produk:pos
riniandini194;5;Lumayan tuk hrg segitu. Kebetulan lg ada diskon jd langsung cekout. Pengemasan jg cepat;"harga:pos;diskon:pos;packing:pos"
riftinursuci;5;Pas ..;size:pos
irma.ayulestari;5;Pengiriman nya cepat. Baju nya bagus bahan nya sesuai harga gak panas.pas baju nya d bb 70.bagus poko nya sukaaaaaa;"pengiriman:pos;baju:pos;baju:pos;bahan:pos;size:pos"
alkashintya20;5;Bagusss bangett bahan ademm;produk:pos
ensfashion_;5;Bagus banget aku beli ini untuk hadiah pacar aku dan cocok banget dipakenyaa jadi tambah ganteng ;respon:pos
r*****2;5;Boleh keren juga barang nya gak kecewa la pokok nya;baju:pos
a****0;5;Ntap sihh;baju:pos
e*****2;5;Alhamdulilah kemejanya sudah datang dgn selamat;respon:pos
34.syahratucahya;5;Pengiriman nya cepat;pengiriman:pos
ai21___;5;Maaf ftonya gak sesuai tapi bajunya bagus banget. Suami sy sukaa sama baju nya. Semoga bisa langganan;baju:pos
f*****5;5;Kualitas produk sangat bagus;produk:pos
valleast;5;barang bagus rekomend bngtt;produk:pos
ariefbagas16;5;barang sampai dengan selamat ;respon:pos
bangyossi;5;Mantap bajunya pas banget kak dan bahannya keren bagus mantep lahh;"size:pos;bahan:pos"
d*****6;5;Barang sudah Sampai.... Bagus real Pic... Bahannya Bagus Adem... Semoga Gak Luntur Pas Di Cuci.... Thanks Seller Dan Kurir;"foto:pos;bahan:pos"
yoko_prihandy_endarto16;5;Pengiriman cepat;pengiriman:pos
n*****y;5;Oke bagus nyaman buat kerja dan keren juga sipp deh pokok mantap;baju:pos
willypratiwi11;5;Bagus syekali bahannya tebal dan juga sesuai sm ekspetasi;produk:pos
nanda_ew;5;Enak dipakai;bahan:pos
i*****a;5;Bahannya bagus;bahan:pos
a*****r;5;bagus sesuai harga tp bahanya tipis dan kaku tp semoga habis dicuci bahanya lebih bagus;"bahan:pos;harga:pos;bahan:neg"
siskagustiarj;5;Bagus kemejanya cocok untuk suami;produk:pos
nana04042003;5;Pengiriman lumayan cepat barangnya bagus bangett tebel terima kasihh;"pengiriman:pos;bahan:pos"
herbalstore_depok;5;Cuman pen dapet koin aja sih klo guaa mahh ga lebih ga kurang awokokokokok cuih;baju:pos
kidnepprasetya;5;Packing rapi pengiriman cepet semoga awet dan semoga sukses buat tokonya;"packing:pos;pengiriman:pos"
ncusminie;5;Alhamdulillah pesanan sudah sampai;respon:pos
ratihapsari30;5;Keren bgt kemejanya.. Bahan adem dan lumayan tebel.. Good Job..;bahan:pos
anik0405;5;Ga nyangka bahannya sekeren itu.....;bahan:pos
m*****2;5;Barang bagus;produk:pos
jhon_hutajulu;5;Barang nya sudah sampai baju nya lumayan lah baguss;respon:pos
i*****9;5;Bagus bahan nya juga ga tipis ga tebel jadi ga bikin gerah. Warna hitam nya juga pekat.;bahan:pos
mgofur3101;5;Bagus banget;baju:pos
suheta123;5;Kualitas produk sangat baik tidak perlu diragukan lagi ??;kualitas:pos
bernard_bear;5;Cuman ukurannya agak kecil dan lebih pendek.;size:pos
a*****r;5;Maaf baru sempat ngasih bintang;respon:pos
miameinanda;5;Barang original bahan lumayan bagus dan pengirimannya sangat cepat;"produk:pos;pengiriman:pos"
vonnydimzaf1234;5;Barangnya sudah sampe;respon:pos
n*****i;5;Bagus banget;respon:pos
n*****0;5;Bagus baju nya ory pas size nya bahan nya nyaman terimakasih....;"bahan:pos;size:pos"
w*****p;5;Barang sudah sampai dengan selamat;respon:pos
p******4;5;jahitan bagus, udah 2x order;"size:pos;bahan:pos;jahitan:pos"
a*****3;5;Bagussss sihh ini mah bener free stiker jugaa makasiiiiiii;"bahan:pos;bonus:pos"
i*****y;5;Terima kasih produk sesuai pesanan... Pengiriman okee;"produk:pos;pesanan...:pos"
hasan.elf_jr;5;Standar lah dngan hrga segini;respon:pos
